time_to_close_hours,project,created_at,closed_at,id_in_repo,short_name
5062.5599999999995,PerfectlySoft/Perfect,2015-11-23T22:27:45Z,2016-06-21T20:54:16Z,9,Perfect
5316.96,PerfectlySoft/Perfect,2015-11-24T11:49:39Z,2016-07-03T00:47:51Z,12,Perfect
70.80000000000001,PerfectlySoft/Perfect,2016-06-11T15:42:23Z,2016-06-14T14:32:33Z,190,Perfect
3124.08,PerfectlySoft/Perfect,2016-03-07T12:08:56Z,2016-07-15T16:08:03Z,127,Perfect
127.68,PerfectlySoft/Perfect,2016-05-04T13:51:46Z,2016-05-09T21:26:09Z,164,Perfect
240.71999999999997,PerfectlySoft/Perfect,2016-05-02T08:30:02Z,2016-05-12T09:15:20Z,162,Perfect
6362.64,amberframework/amber,2018-08-28T00:08:42Z,2019-05-20T02:42:51Z,942,amber
5221.200000000001,amberframework/amber,2018-05-21T05:10:28Z,2018-12-24T18:26:25Z,806,amber
96.72,amberframework/amber,2018-01-08T21:38:57Z,2018-01-12T22:28:37Z,491,amber
893.76,amberframework/amber,2018-01-29T13:53:33Z,2018-03-07T19:44:50Z,592,amber
5979.12,amberframework/amber,2017-09-20T12:54:36Z,2018-05-27T15:54:54Z,273,amber
2.16,amberframework/amber,2018-01-06T17:13:17Z,2018-01-06T19:28:57Z,486,amber
49.199999999999996,amberframework/amber,2018-08-15T14:26:08Z,2018-08-17T15:40:19Z,928,amber
348.48,amberframework/amber,2017-12-28T11:44:15Z,2018-01-12T00:06:20Z,467,amber
6655.200000000001,amberframework/amber,2017-05-19T16:31:19Z,2018-02-20T23:40:03Z,56,amber
552.72,amberframework/amber,2019-04-02T20:23:49Z,2019-04-25T21:03:37Z,1089,amber
243.36,amberframework/amber,2017-12-08T02:42:25Z,2017-12-18T06:06:37Z,438,amber
2371.68,amberframework/amber,2017-11-30T01:13:20Z,2018-03-08T20:51:37Z,420,amber
6697.200000000001,amberframework/amber,2018-08-26T22:17:44Z,2019-06-01T23:36:14Z,941,amber
4534.799999999999,amberframework/amber,2019-03-07T18:51:08Z,2019-09-12T17:45:37Z,1078,amber
178.07999999999998,amberframework/amber,2017-12-14T05:42:21Z,2017-12-21T15:42:21Z,446,amber
164.16,amberframework/amber,2018-01-25T23:25:55Z,2018-02-01T19:38:16Z,582,amber
270.0,amberframework/amber,2018-08-24T13:17:21Z,2018-09-04T19:22:12Z,938,amber
238.56,amberframework/amber,2017-10-22T17:09:00Z,2017-11-01T15:48:47Z,322,amber
