resolution_time,name,configuration
1,angular,Gitter
434,angular,Gitter
14,angular,Gitter
80,angular,Gitter
575,angular,Gitter
678,angular,Gitter
32,angular,Gitter
32,angular,Gitter
80,angular,Gitter
11234,angular,Gitter
72,angular,Gitter
2,angular,Gitter
2,angular,Gitter
68,angular,Gitter
6665,angular,Gitter
6665,angular,Gitter
51,angular,Gitter
6803,angular,Gitter
29,angular,Gitter
1,angular,Gitter
575,angular,Gitter
35,angular,Gitter
153,angular,Gitter
287,angular,Gitter
273,angular,Gitter
167,angular,Gitter
6803,angular,Gitter
4,angular,Gitter
532,angular,Gitter
1,angular,Gitter
1,angular,Gitter
6936,angular,Gitter
8591,angular,Gitter
16,angular,Gitter
120,angular,Gitter
2,angular,Gitter
68,angular,Gitter
25,angular,Gitter
81,angular,Gitter
587,angular,Gitter
2535,angular,Gitter
1247,angular,Gitter
7683,angular,Gitter
6432,angular,Gitter
6120,angular,Gitter
1193,angular,Gitter
8307,angular,Gitter
482,angular,Gitter
410,angular,Gitter
11234,angular,Gitter
1392,angular,Gitter
9446,angular,Gitter
532,angular,Gitter
6229,angular,Gitter
23,angular,Gitter
2016,angular,Gitter
3769,angular,Gitter
1392,angular,Gitter
5927,angular,Gitter
5779,angular,Gitter
24113,angular,Gitter
118,angular,Gitter
215,angular,Gitter
186,angular,Gitter
24113,angular,Gitter
2,angular,Gitter
1451,angular,Gitter
1392,angular,Gitter
118,angular,Gitter
71,angular,Gitter
9000,angular,Gitter
1278,angular,Gitter
7683,angular,Gitter
1440,angular,Gitter
2,angular,Gitter
9,angular,Gitter
54,angular,Gitter
118,angular,Gitter
3863,angular,Gitter
2348,angular,Gitter
5344,angular,Gitter
167,angular,Gitter
18,angular,Gitter
10290,angular,Gitter
18,angular,Gitter
125,angular,Gitter
1239,angular,Gitter
6861,angular,Gitter
4,angular,Gitter
6462,angular,Gitter
3061,angular,Gitter
4486,angular,Gitter
6229,angular,Gitter
8233,angular,Gitter
22,angular,Gitter
436,angular,Gitter
6861,angular,Gitter
23043,angular,Gitter
459,angular,Gitter
7,angular,Gitter
7,angular,Gitter
7,angular,Gitter
5,angular,Gitter
5546,angular,Gitter
11234,angular,Gitter
7,angular,Gitter
51,angular,Gitter
267,angular,Gitter
5595,angular,Gitter
24113,angular,Gitter
51,angular,Gitter
5011,angular,Gitter
5011,angular,Gitter
5011,angular,Gitter
601,angular,Gitter
74,angular,Gitter
63,angular,Gitter
1868,angular,Gitter
7,angular,Gitter
74,angular,Gitter
5595,angular,Gitter
1387,angular,Gitter
436,angular,Gitter
329,angular,Gitter
459,angular,Gitter
93,angular,Gitter
93,angular,Gitter
411,angular,Gitter
175,angular,Gitter
294,angular,Gitter
20061,angular,Gitter
4550,angular,Gitter
3468,angular,Gitter
436,angular,Gitter
3468,angular,Gitter
5681,angular,Gitter
74,angular,Gitter
361,angular,Gitter
273,angular,Gitter
55,angular,Gitter
1906,angular,Gitter
7,angular,Gitter
5,angular,Gitter
5674,angular,Gitter
26,angular,Gitter
8584,angular,Gitter
8591,angular,Gitter
9,angular,Gitter
2,angular,Gitter
68,angular,Gitter
7702,angular,Gitter
2,angular,Gitter
2,angular,Gitter
973,angular,Gitter
NA,angular,Gitter
1684,angular,Gitter
9000,angular,Gitter
63,angular,Gitter
93,angular,Gitter
317,angular,Gitter
973,angular,Gitter
2709,angular,Gitter
6229,angular,Gitter
3922,angular,Gitter
67,angular,Gitter
35,angular,Gitter
319,angular,Gitter
11744,angular,Gitter
1906,angular,Gitter
5394,angular,Gitter
1906,angular,Gitter
297,angular,Gitter
623,angular,Gitter
58,angular,Gitter
1027,angular,Gitter
3,angular,Gitter
3,angular,Gitter
6150,angular,Gitter
1278,angular,Gitter
297,angular,Gitter
58,angular,Gitter
330,angular,Gitter
22,angular,Gitter
6962,angular,Gitter
4405,angular,Gitter
6229,angular,Gitter
140,angular,Gitter
1152,angular,Gitter
330,angular,Gitter
6936,angular,Gitter
112,angular,Gitter
6962,angular,Gitter
434,angular,Gitter
1368,angular,Gitter
2,angular,Gitter
11,angular,Gitter
11,angular,Gitter
5881,angular,Gitter
0,angular,Gitter
1011,angular,Gitter
1011,angular,Gitter
5611,angular,Gitter
0,angular,Gitter
1011,angular,Gitter
1276,angular,Gitter
6229,angular,Gitter
55,angular,Gitter
6229,angular,Gitter
6,angular,Gitter
6,angular,Gitter
1011,angular,Gitter
1440,angular,Gitter
5435,angular,Gitter
1349,angular,Gitter
5394,angular,Gitter
1684,angular,Gitter
3467,angular,Gitter
7344,angular,Gitter
149,angular,Gitter
6861,angular,Gitter
6,angular,Gitter
1011,angular,Gitter
5286,angular,Gitter
645,angular,Gitter
24018,angular,Gitter
8593,angular,Gitter
4941,angular,Gitter
8593,angular,Gitter
3741,angular,Gitter
5388,angular,Gitter
6432,angular,Gitter
933,angular,Gitter
11744,angular,Gitter
4975,angular,Gitter
38,angular,Gitter
14,angular,Gitter
1821,angular,Gitter
4975,angular,Gitter
6862,angular,Gitter
1440,angular,Gitter
17135,angular,Gitter
1868,angular,Gitter
56,angular,Gitter
493,angular,Gitter
108,angular,Gitter
NA,angular,Gitter
1906,angular,Gitter
6847,angular,Gitter
6847,angular,Gitter
91,angular,Gitter
5546,angular,Gitter
5546,angular,Gitter
91,angular,Gitter
459,angular,Gitter
19,angular,Gitter
6847,angular,Gitter
6343,angular,Gitter
8591,angular,Gitter
6,angular,Gitter
126,angular,Gitter
5666,angular,Gitter
15,angular,Gitter
4049,angular,Gitter
4067,angular,Gitter
16543,angular,Gitter
2939,angular,Gitter
5114,angular,Gitter
4351,angular,Gitter
3519,angular,Gitter
1,angular,Gitter
5604,angular,Gitter
10895,angular,Gitter
4174,angular,Gitter
444,angular,Gitter
5048,angular,Gitter
219,angular,Gitter
6556,angular,Gitter
391,angular,Gitter
78,angular,Gitter
1440,angular,Gitter
2535,angular,Gitter
6,angular,Gitter
485,angular,Gitter
239,angular,Gitter
237,angular,Gitter
5506,angular,Gitter
78,angular,Gitter
11234,angular,Gitter
3914,angular,Gitter
2524,angular,Gitter
6103,angular,Gitter
2939,angular,Gitter
3468,angular,Gitter
5681,angular,Gitter
1,angular,Gitter
1980,angular,Gitter
7980,angular,Gitter
7980,angular,Gitter
3926,angular,Gitter
6335,angular,Gitter
8012,angular,Gitter
4996,angular,Gitter
4996,angular,Gitter
933,angular,Gitter
23,angular,Gitter
11234,angular,Gitter
11,angular,Gitter
1739,angular,Gitter
7980,angular,Gitter
2851,angular,Gitter
1,angular,Gitter
5998,angular,Gitter
6432,angular,Gitter
193,angular,Gitter
11234,angular,Gitter
5,angular,Gitter
5549,angular,Gitter
4996,angular,Gitter
4065,angular,Gitter
3914,angular,Gitter
28,angular,Gitter
3468,angular,Gitter
3829,angular,Gitter
22272,angular,Gitter
1,angular,Gitter
6988,angular,Gitter
51,angular,Gitter
24,angular,Gitter
1345,angular,Gitter
92,angular,Gitter
2627,angular,Gitter
756,angular,Gitter
5927,angular,Gitter
5114,angular,Gitter
4817,angular,Gitter
6229,angular,Gitter
1013,angular,Gitter
1013,angular,Gitter
5927,angular,Gitter
51,angular,Gitter
6861,angular,Gitter
6810,angular,Gitter
NA,angular,Gitter
5347,angular,Gitter
6799,angular,Gitter
2850,angular,Gitter
512,angular,Gitter
6229,angular,Gitter
3720,angular,Gitter
78,angular,Gitter
5114,angular,Gitter
315,angular,Gitter
24,angular,Gitter
5114,angular,Gitter
2255,angular,Gitter
1,angular,Gitter
70,angular,Gitter
5546,angular,Gitter
8,angular,Gitter
1170,angular,Gitter
4996,angular,Gitter
5763,angular,Gitter
5681,angular,Gitter
6997,angular,Gitter
2941,angular,Gitter
6962,angular,Gitter
5,angular,Gitter
8584,angular,Gitter
5595,angular,Gitter
6699,angular,Gitter
5546,angular,Gitter
3801,angular,Gitter
1440,angular,Gitter
182,angular,Gitter
6699,angular,Gitter
5627,angular,Gitter
1684,angular,Gitter
10895,angular,Gitter
1,angular,Gitter
1457,angular,Gitter
170,angular,Gitter
1774,angular,Gitter
7980,angular,Gitter
1774,angular,Gitter
5507,angular,Gitter
1739,angular,Gitter
1739,angular,Gitter
292,angular,Gitter
NA,angular,Gitter
11234,angular,Gitter
7118,angular,Gitter
3,angular,Gitter
81,angular,Gitter
5763,angular,Gitter
NA,angular,Gitter
1739,angular,Gitter
5546,angular,Gitter
4569,angular,Gitter
2527,angular,Gitter
2242,angular,Gitter
166,angular,Gitter
3061,angular,Gitter
2,angular,Gitter
634,angular,Gitter
5114,angular,Gitter
1024,angular,Gitter
5927,angular,Gitter
634,angular,Gitter
5927,angular,Gitter
1047,angular,Gitter
5372,angular,Gitter
1440,angular,Gitter
3,angular,Gitter
166,angular,Gitter
5546,angular,Gitter
0,angular,Gitter
2939,angular,Gitter
2592,angular,Gitter
101,angular,Gitter
6229,angular,Gitter
5171,angular,Gitter
1181,angular,Gitter
5114,angular,Gitter
146,angular,Gitter
126,angular,Gitter
7980,angular,Gitter
5889,angular,Gitter
24018,angular,Gitter
7087,angular,Gitter
5254,angular,Gitter
7980,angular,Gitter
5231,angular,Gitter
9167,angular,Gitter
1205,angular,Gitter
63,angular,Gitter
NA,angular,Gitter
1440,angular,Gitter
5546,angular,Gitter
2275,angular,Gitter
5,angular,Gitter
2135,angular,Gitter
3841,angular,Gitter
5546,angular,Gitter
3914,angular,Gitter
5507,angular,Gitter
1,angular,Gitter
10466,angular,Gitter
3377,angular,Gitter
1248,angular,Gitter
5595,angular,Gitter
10895,angular,Gitter
820,angular,Gitter
126,angular,Gitter
3914,angular,Gitter
3038,angular,Gitter
3038,angular,Gitter
3345,angular,Gitter
3345,angular,Gitter
10466,angular,Gitter
5114,angular,Gitter
2493,angular,Gitter
76,angular,Gitter
204,angular,Gitter
444,angular,Gitter
8245,angular,Gitter
223,angular,Gitter
1944,angular,Gitter
2255,angular,Gitter
3,angular,Gitter
32,angular,Gitter
2255,angular,Gitter
2022,angular,Gitter
2022,angular,Gitter
2964,angular,Gitter
6861,angular,Gitter
120,angular,Gitter
2255,angular,Gitter
2530,angular,Gitter
3430,angular,Gitter
2964,angular,Gitter
5050,angular,Gitter
11277,angular,Gitter
4590,angular,Gitter
10895,angular,Gitter
2530,angular,Gitter
6049,angular,Gitter
166,angular,Gitter
4590,angular,Gitter
126,angular,Gitter
4590,angular,Gitter
5114,angular,Gitter
2139,angular,Gitter
1603,angular,Gitter
5763,angular,Gitter
4590,angular,Gitter
70,angular,Gitter
4590,angular,Gitter
7076,angular,Gitter
5507,angular,Gitter
2738,angular,Gitter
7008,angular,Gitter
7653,angular,Gitter
7653,angular,Gitter
2022,angular,Gitter
6385,angular,Gitter
29704,angular,Gitter
2301,angular,Gitter
146,angular,Gitter
146,angular,Gitter
5763,angular,Gitter
2738,angular,Gitter
539,angular,Gitter
1003,angular,Gitter
2022,angular,Gitter
24,angular,Gitter
1794,angular,Gitter
3107,angular,Gitter
20880,angular,Gitter
6763,angular,Gitter
126,angular,Gitter
5889,angular,Gitter
5299,angular,Gitter
778,angular,Gitter
985,angular,Gitter
985,angular,Gitter
4975,angular,Gitter
5435,angular,Gitter
6810,angular,Gitter
4926,angular,Gitter
1684,angular,Gitter
25,angular,Gitter
2043,angular,Gitter
91,angular,Gitter
8204,angular,Gitter
143,angular,Gitter
38,angular,Gitter
NA,angular,Gitter
5763,angular,Gitter
5763,angular,Gitter
2255,angular,Gitter
5763,angular,Gitter
7089,angular,Gitter
6552,angular,Gitter
1003,angular,Gitter
3985,angular,Gitter
1986,angular,Gitter
2156,angular,Gitter
1827,angular,Gitter
136,angular,Gitter
7118,angular,Gitter
13304,angular,Gitter
10513,angular,Gitter
52,angular,Gitter
1419,angular,Gitter
4534,angular,Gitter
5114,angular,Gitter
2135,angular,Gitter
22,angular,Gitter
5114,angular,Gitter
3031,angular,Gitter
5763,angular,Gitter
1605,angular,Gitter
23,angular,Gitter
1324,angular,Gitter
2681,angular,Gitter
164,angular,Gitter
1973,angular,Gitter
5627,angular,Gitter
483,angular,Gitter
16,angular,Gitter
486,angular,Gitter
486,angular,Gitter
486,angular,Gitter
22,angular,Gitter
17135,angular,Gitter
5114,angular,Gitter
2444,angular,Gitter
486,angular,Gitter
645,angular,Gitter
11234,angular,Gitter
486,angular,Gitter
3038,angular,Gitter
29704,angular,Gitter
6049,angular,Gitter
7076,angular,Gitter
2444,angular,Gitter
593,angular,Gitter
NA,angular,Gitter
5,angular,Gitter
3962,angular,Gitter
29704,angular,Gitter
160,angular,Gitter
NA,angular,Gitter
6552,angular,Gitter
6049,angular,Gitter
32,angular,Gitter
2444,angular,Gitter
2444,angular,Gitter
4429,angular,Gitter
73,angular,Gitter
4065,angular,Gitter
1966,angular,Gitter
5763,angular,Gitter
3,angular,Gitter
33,angular,Gitter
73,angular,Gitter
2135,angular,Gitter
427,angular,Gitter
22,angular,Gitter
4065,angular,Gitter
NA,angular,Gitter
2255,angular,Gitter
1419,angular,Gitter
13432,angular,Gitter
1,angular,Gitter
13304,angular,Gitter
3354,angular,Gitter
NA,angular,Gitter
4277,angular,Gitter
NA,angular,Gitter
11234,angular,Gitter
1317,angular,Gitter
126,angular,Gitter
14,angular,Gitter
10,angular,Gitter
1260,angular,Gitter
2135,angular,Gitter
990,angular,Gitter
219,angular,Gitter
6,angular,Gitter
1066,angular,Gitter
183,angular,Gitter
2255,angular,Gitter
183,angular,Gitter
6861,angular,Gitter
63,angular,Gitter
2255,angular,Gitter
5763,angular,Gitter
2939,angular,Gitter
2043,angular,Gitter
4174,angular,Gitter
45,angular,Gitter
3078,angular,Gitter
3078,angular,Gitter
4461,angular,Gitter
0,angular,Gitter
1345,angular,Gitter
16,angular,Gitter
2210,angular,Gitter
NA,angular,Gitter
1529,angular,Gitter
20880,angular,Gitter
6888,angular,Gitter
2139,angular,Gitter
4978,angular,Gitter
136,angular,Gitter
3796,angular,Gitter
607,angular,Gitter
2210,angular,Gitter
6861,angular,Gitter
NA,angular,Gitter
4315,angular,Gitter
3078,angular,Gitter
6424,angular,Gitter
2016,angular,Gitter
29704,angular,Gitter
2255,angular,Gitter
1529,angular,Gitter
26,angular,Gitter
2255,angular,Gitter
1529,angular,Gitter
260,angular,Gitter
45,angular,Gitter
0,angular,Gitter
700,angular,Gitter
3479,angular,Gitter
166,angular,Gitter
22,angular,Gitter
8408,angular,Gitter
2255,angular,Gitter
65,angular,Gitter
7089,angular,Gitter
1235,angular,Gitter
102,angular,Gitter
70,angular,Gitter
3139,angular,Gitter
183,angular,Gitter
1774,angular,Gitter
1419,angular,Gitter
4429,angular,Gitter
0,angular,Gitter
2255,angular,Gitter
0,angular,Gitter
7301,angular,Gitter
102,angular,Gitter
3908,angular,Gitter
3141,angular,Gitter
4958,angular,Gitter
2939,angular,Gitter
6557,angular,Gitter
11,angular,Gitter
86,angular,Gitter
1066,angular,Gitter
32,angular,Gitter
11,angular,Gitter
866,angular,Gitter
15367,angular,Gitter
15367,angular,Gitter
11,angular,Gitter
866,angular,Gitter
15367,angular,Gitter
15367,angular,Gitter
529,angular,Gitter
2417,angular,Gitter
1358,angular,Gitter
1,angular,Gitter
1662,angular,Gitter
854,angular,Gitter
1540,angular,Gitter
102,angular,Gitter
78,angular,Gitter
1540,angular,Gitter
926,angular,Gitter
1758,angular,Gitter
233,angular,Gitter
3598,angular,Gitter
1427,angular,Gitter
22,angular,Gitter
546,angular,Gitter
86,angular,Gitter
24,angular,Gitter
1167,angular,Gitter
330,angular,Gitter
0,angular,Gitter
1540,angular,Gitter
1,angular,Gitter
3598,angular,Gitter
3598,angular,Gitter
315,angular,Gitter
2,angular,Gitter
22278,angular,Gitter
1261,angular,Gitter
6792,angular,Gitter
769,angular,Gitter
7518,angular,Gitter
1252,angular,Gitter
1543,angular,Gitter
3698,angular,Gitter
1543,angular,Gitter
421,angular,Gitter
1248,angular,Gitter
72,angular,Gitter
30,angular,Gitter
129,angular,Gitter
3682,angular,Gitter
NA,angular,Gitter
2857,angular,Gitter
3524,angular,Gitter
13432,angular,Gitter
1427,angular,Gitter
13432,angular,Gitter
6142,angular,Gitter
23,angular,Gitter
1252,angular,Gitter
31,angular,Gitter
23,angular,Gitter
486,angular,Gitter
1248,angular,Gitter
546,angular,Gitter
1014,angular,Gitter
546,angular,Gitter
102,angular,Gitter
1058,angular,Gitter
496,angular,Gitter
8331,angular,Gitter
1252,angular,Gitter
1058,angular,Gitter
1058,angular,Gitter
1058,angular,Gitter
1058,angular,Gitter
1252,angular,Gitter
10466,angular,Gitter
4428,angular,Gitter
23,angular,Gitter
769,angular,Gitter
7897,angular,Gitter
2905,angular,Gitter
1252,angular,Gitter
1427,angular,Gitter
23,angular,Gitter
22,angular,Gitter
10466,angular,Gitter
580,angular,Gitter
21,angular,Gitter
23,angular,Gitter
8596,angular,Gitter
NA,angular,Gitter
1189,angular,Gitter
23,angular,Gitter
4611,angular,Gitter
825,angular,Gitter
4941,angular,Gitter
23,angular,Gitter
255,angular,Gitter
11234,angular,Gitter
117,angular,Gitter
NA,angular,Gitter
1058,angular,Gitter
7518,angular,Gitter
NA,angular,Gitter
632,angular,Gitter
3995,angular,Gitter
23,angular,Gitter
2066,angular,Gitter
59,angular,Gitter
8,angular,Gitter
5171,angular,Gitter
1252,angular,Gitter
1261,angular,Gitter
1261,angular,Gitter
1252,angular,Gitter
1543,angular,Gitter
543,angular,Gitter
1058,angular,Gitter
0,angular,Gitter
5107,angular,Gitter
767,angular,Gitter
1189,angular,Gitter
4975,angular,Gitter
1,angular,Gitter
NA,angular,Gitter
13432,angular,Gitter
5180,angular,Gitter
731,angular,Gitter
338,angular,Gitter
18,angular,Gitter
632,angular,Gitter
1758,angular,Gitter
144,angular,Gitter
7101,angular,Gitter
1252,angular,Gitter
543,angular,Gitter
785,angular,Gitter
769,angular,Gitter
769,angular,Gitter
820,angular,Gitter
3463,angular,Gitter
5114,angular,Gitter
1866,angular,Gitter
6861,angular,Gitter
13653,angular,Gitter
13269,angular,Gitter
NA,angular,Gitter
20779,angular,Gitter
3467,angular,Gitter
982,angular,Gitter
15346,angular,Gitter
2681,angular,Gitter
91,angular,Gitter
381,angular,Gitter
3216,angular,Gitter
543,angular,Gitter
2984,angular,Gitter
825,angular,Gitter
11234,angular,Gitter
3307,angular,Gitter
1252,angular,Gitter
6699,angular,Gitter
1758,angular,Gitter
2984,angular,Gitter
NA,angular,Gitter
NA,angular,Gitter
7653,angular,Gitter
5,angular,Gitter
144,angular,Gitter
1252,angular,Gitter
1241,angular,Gitter
NA,angular,Gitter
124,angular,Gitter
49,angular,Gitter
719,angular,Gitter
3829,angular,Gitter
324,angular,Gitter
767,angular,Gitter
825,angular,Gitter
3829,angular,Gitter
NA,angular,Gitter
1167,angular,Gitter
3171,angular,Gitter
5936,angular,Gitter
4371,angular,Gitter
10,angular,Gitter
97,angular,Gitter
0,angular,Gitter
2857,angular,Gitter
264,angular,Gitter
23,angular,Gitter
1866,angular,Gitter
821,angular,Gitter
821,angular,Gitter
1012,angular,Gitter
2142,angular,Gitter
1252,angular,Gitter
1,angular,Gitter
